timestamp,elapsed_secs,produced,processed,failed,queue_depth,retained_bytes,max_live_bytes
2026-09-21 22:41:31,5,10,10,0,1,353232,353232
2026-09-21 22:41:36,10,21,20,0,1,361288,361288
2026-09-21 22:41:41,15,31,30,0,1,361536,361536
2026-09-21 22:41:46,20,41,41,0,1,362200,362200
2026-09-21 22:41:51,26,51,51,0,2,357304,362200
2026-09-21 22:41:56,31,61,61,0,3,357328,362200
2026-09-21 22:42:01,36,72,71,0,3,358336,362200
2026-09-21 22:42:07,41,82,82,0,3,358192,362200
2026-09-21 22:42:12,46,92,92,0,2,357352,362200
2026-09-21 22:42:17,51,102,102,0,2,362272,362272
2026-09-21 22:42:22,56,112,112,0,3,362248,362272
2026-09-21 22:42:27,61,123,122,0,2,363576,363576
2026-09-21 22:42:32,66,133,133,0,3,378368,378368
2026-09-21 22:42:37,71,143,142,0,3,381320,381320
2026-09-21 22:42:42,77,153,153,0,3,382480,382480
2026-09-21 22:42:47,82,163,163,0,3,382304,382480
2026-09-21 22:42:52,87,173,173,0,3,377408,382480
2026-09-21 22:42:57,92,183,183,0,4,377264,382480
2026-09-21 22:43:03,97,194,193,0,4,382216,382480
2026-09-21 22:43:08,102,204,204,0,4,378248,382480
2026-09-21 22:43:13,107,214,214,0,4,382272,382480
2026-09-21 22:43:18,112,224,224,0,4,377376,382480
2026-09-21 22:43:23,117,234,234,0,4,378256,382480
2026-09-21 22:43:28,122,241,241,0,1,488000,488000
2026-09-21 22:43:32,126,241,241,0,0,579168,579168
