timestamp,elapsed_secs,produced,processed,failed,queue_depth,retained_bytes,max_live_bytes
2026-09-21 23:53:32,5,96,96,0,0,653944,653944
2026-09-21 23:53:37,10,192,192,0,0,622464,653944
2026-09-21 23:53:42,15,287,287,0,0,639656,653944
2026-09-21 23:53:47,20,382,382,0,0,674288,674288
2026-09-21 23:53:52,25,477,477,0,0,687928,687928
2026-09-21 23:53:57,30,572,572,0,0,701208,701208
2026-09-21 23:54:02,35,668,668,0,0,704104,704104
2026-09-21 23:54:07,40,763,763,0,0,696584,704104
2026-09-21 23:54:12,45,858,858,0,0,699424,704104
2026-09-21 23:54:17,50,953,953,0,0,703472,704104
2026-09-21 23:54:22,55,1049,1049,0,0,699048,704104
2026-09-21 23:54:27,60,1144,1144,0,0,665504,704104
2026-09-21 23:54:32,65,1239,1239,0,0,700680,704104
2026-09-21 23:54:37,70,1335,1335,0,0,704472,704472
2026-09-21 23:54:42,75,1430,1430,0,0,695696,704472
2026-09-21 23:54:47,80,1525,1525,0,0,698464,704472
2026-09-21 23:54:52,85,1620,1620,0,0,701688,704472
2026-09-21 23:54:57,90,1716,1716,0,0,698600,704472
2026-09-21 23:55:02,95,1812,1812,0,0,697432,704472
2026-09-21 23:55:07,100,1908,1908,0,0,700256,704472
2026-09-21 23:55:12,105,2005,2005,0,0,703376,704472
2026-09-21 23:55:17,110,2101,2101,0,0,705624,705624
2026-09-21 23:55:22,115,2197,2197,0,0,697800,705624
2026-09-21 23:55:27,120,2291,2291,0,0,533448,705624
