timestamp,elapsed_secs,produced,processed,failed,queue_depth,retained_bytes,max_live_bytes
2026-09-22 03:05:58,5,10,10,0,10,387464,387464
2026-09-22 03:06:03,10,20,20,0,1,387384,387464
2026-09-22 03:06:08,15,31,30,0,1,391440,391440
2026-09-22 03:06:13,20,41,41,0,2,388488,391440
2026-09-22 03:06:18,25,51,51,0,2,392424,392424
2026-09-22 03:06:24,30,61,61,0,2,396368,396368
2026-09-22 03:06:29,35,71,71,0,2,387408,396368
2026-09-22 03:06:34,41,81,81,0,2,396624,396624
2026-09-22 03:06:39,46,91,91,0,3,388312,396624
2026-09-22 03:06:44,51,102,102,0,2,388376,396624
2026-09-22 03:06:49,56,112,111,0,2,391352,396624
2026-09-22 03:06:54,61,122,122,0,1,361872,396624
2026-09-22 03:06:59,66,132,131,0,2,412600,412600
2026-09-22 03:07:04,71,142,142,0,2,408568,412600
2026-09-22 03:07:09,76,152,152,0,2,407600,412600
2026-09-22 03:07:14,81,162,162,0,3,407576,412600
2026-09-22 03:07:19,86,173,172,0,3,411632,412600
2026-09-22 03:07:25,91,183,182,0,3,408560,412600
2026-09-22 03:07:30,97,193,193,0,3,408416,412600
2026-09-22 03:07:35,102,203,203,0,3,416560,416560
2026-09-22 03:07:40,107,213,213,0,3,407480,416560
2026-09-22 03:07:45,112,223,223,0,4,411512,416560
2026-09-22 03:07:50,117,234,233,0,4,408592,416560
2026-09-22 03:07:55,122,241,241,0,1,480664,480664
2026-09-22 03:07:59,126,241,241,0,0,630256,630256
