timestamp,elapsed_secs,produced,processed,failed,queue_depth,retained_bytes,max_live_bytes
2026-09-22 04:20:35,5,828,828,0,0,1273848,1273848
2026-09-22 04:20:40,10,1654,1654,0,0,1508752,1508752
2026-09-22 04:20:45,15,2486,2486,0,0,1609600,1609600
2026-09-22 04:20:50,20,3311,3311,0,0,1701232,1701232
2026-09-22 04:20:55,25,4134,4134,0,0,1787816,1787816
2026-09-22 04:21:00,30,4951,4951,0,0,1874856,1874856
2026-09-22 04:21:05,35,5792,5792,0,0,1890488,1890488
2026-09-22 04:21:10,40,6629,6629,0,0,1890280,1890488
2026-09-22 04:21:15,45,7463,7463,0,0,1891672,1891672
2026-09-22 04:21:20,50,8269,8269,0,0,1883528,1891672
2026-09-22 04:21:25,55,9056,9056,0,0,1856824,1891672
2026-09-22 04:21:30,60,9880,9880,0,0,1877504,1891672
2026-09-22 04:21:35,65,10718,10718,0,0,1900048,1900048
2026-09-22 04:21:40,70,11549,11549,0,0,1904992,1904992
2026-09-22 04:21:45,75,12387,12387,0,0,1901224,1904992
2026-09-22 04:21:50,80,13218,13218,0,0,1906208,1906208
2026-09-22 04:21:55,85,14053,14053,0,0,1905528,1906208
2026-09-22 04:22:00,90,14881,14881,0,0,1909800,1909800
2026-09-22 04:22:05,95,15727,15727,0,0,1919112,1919112
2026-09-22 04:22:10,100,16571,16571,0,0,1925504,1925504
2026-09-22 04:22:15,105,17416,17416,0,0,1927424,1927424
2026-09-22 04:22:20,110,18261,18261,0,0,1928712,1928712
2026-09-22 04:22:25,115,19078,19078,0,0,1908488,1928712
2026-09-22 04:22:30,120,19878,19878,0,0,1722480,1928712
