timestamp,elapsed_secs,produced,processed,failed,queue_depth,retained_bytes,max_live_bytes
2026-09-22 04:18:04,5,97,97,0,1,671368,671368
2026-09-22 04:18:09,10,195,195,0,0,623512,671368
2026-09-22 04:18:14,15,292,292,0,0,636072,671368
2026-09-22 04:18:19,20,389,389,0,0,680912,680912
2026-09-22 04:18:24,25,485,485,0,0,687584,687584
2026-09-22 04:18:29,30,582,582,0,0,700544,700544
2026-09-22 04:18:34,35,679,679,0,0,702944,702944
2026-09-22 04:18:39,40,776,776,0,0,704960,704960
2026-09-22 04:18:44,45,873,873,0,0,707288,707288
2026-09-22 04:18:49,50,970,970,0,0,699376,707288
2026-09-22 04:18:54,55,1067,1067,0,0,701576,707288
2026-09-22 04:18:59,60,1164,1164,0,0,675600,707288
2026-09-22 04:19:04,65,1261,1261,0,0,709912,709912
2026-09-22 04:19:09,70,1358,1358,0,0,711920,711920
2026-09-22 04:19:14,75,1455,1455,0,0,704008,711920
2026-09-22 04:19:19,80,1552,1552,0,0,706168,711920
2026-09-22 04:19:24,85,1649,1649,0,0,708328,711920
2026-09-22 04:19:29,90,1746,1746,0,0,710504,711920
2026-09-22 04:19:34,95,1843,1843,0,0,702336,711920
2026-09-22 04:19:39,100,1940,1940,0,0,704304,711920
2026-09-22 04:19:44,105,2037,2037,0,0,706424,711920
2026-09-22 04:19:49,110,2134,2134,0,0,708576,711920
2026-09-22 04:19:54,115,2230,2230,0,0,710488,711920
2026-09-22 04:19:59,120,2327,2327,0,0,703184,711920
2026-09-22 04:19:59,120,2327,2327,0,0,512088,711920
