timestamp,elapsed_secs,produced,processed,failed,queue_depth,retained_bytes,max_live_bytes
2026-09-22 03:47:54,30,581,566,0,15,644376,644376
2026-09-22 03:48:24,60,1160,1149,0,11,715864,715864
2026-09-22 03:48:54,90,1739,1732,0,7,715632,715864
2026-09-22 03:49:24,120,2314,2311,0,3,714360,715864
2026-09-22 03:49:54,150,2891,2874,0,17,715736,715864
2026-09-22 03:50:24,180,3464,3455,0,9,722432,722432
2026-09-22 03:50:54,210,4033,4031,0,2,721616,722432
2026-09-22 03:51:24,240,4609,4593,0,16,719648,722432
2026-09-22 03:51:54,270,5187,5175,0,12,723840,723840
2026-09-22 03:52:24,300,5764,5756,0,8,723480,723840
2026-09-22 03:52:54,330,6341,6337,0,4,723576,723840
2026-09-22 03:53:24,360,6918,6899,0,19,715008,723840
2026-09-22 03:53:54,390,7495,7480,0,15,723336,723840
2026-09-22 03:54:24,420,8073,8062,0,11,723816,723840
2026-09-22 03:54:54,450,8652,8646,0,6,724488,724488
2026-09-22 03:55:24,480,9224,9206,0,18,714576,724488
2026-09-22 03:55:54,510,9800,9787,0,13,723504,724488
2026-09-22 03:56:24,540,10379,10369,0,10,723976,724488
2026-09-22 03:56:54,570,10958,10952,0,6,724096,724488
2026-09-22 03:57:24,600,11531,11513,0,18,714232,724488
2026-09-22 03:57:54,630,12106,12094,0,12,723160,724488
2026-09-22 03:58:24,660,12684,12676,0,8,723880,724488
2026-09-22 03:58:54,690,13258,13256,0,2,722872,724488
2026-09-22 03:59:24,720,13833,13818,0,15,719440,724488
2026-09-22 03:59:54,750,14409,14400,0,9,723376,724488
2026-09-22 04:00:24,780,14981,14962,0,19,714160,724488
2026-09-22 04:00:54,810,15557,15545,0,12,723616,724488
2026-09-22 04:01:24,840,16132,16126,0,6,723136,724488
2026-09-22 04:01:54,870,16709,16708,0,1,723616,724488
2026-09-22 04:02:24,900,17282,17269,0,13,719144,724488
2026-09-22 04:02:54,930,17838,17822,0,16,715816,724488
2026-09-22 04:03:24,960,18392,18374,0,18,715896,724488
2026-09-22 04:03:54,990,18966,18954,0,12,728520,728520
2026-09-22 04:04:24,1020,19540,19532,0,8,728520,728520
2026-09-22 04:04:54,1050,20117,20114,0,3,729600,729600
2026-09-22 04:05:24,1080,20683,20673,0,10,722904,729600
2026-09-22 04:05:54,1110,21243,21230,0,13,720528,729600
2026-09-22 04:06:24,1140,21816,21813,0,3,729288,729600
2026-09-22 04:06:54,1170,22391,22375,0,16,720720,729600
2026-09-22 04:07:24,1200,22962,22955,0,7,728496,729600
2026-09-22 04:07:54,1230,23530,23515,0,15,719208,729600
2026-09-22 04:08:24,1260,24107,24096,0,11,729456,729600
2026-09-22 04:08:54,1290,24684,24677,0,7,729384,729600
2026-09-22 04:09:24,1320,25260,25259,0,1,729968,729968
2026-09-22 04:09:54,1350,25836,25821,0,15,725760,729968
2026-09-22 04:10:24,1380,26413,26403,0,10,729312,729968
2026-09-22 04:10:54,1410,26990,26986,0,4,730080,730080
2026-09-22 04:11:24,1440,27566,27550,0,16,721848,730080
2026-09-22 04:11:54,1470,28138,28132,0,6,728832,730080
2026-09-22 04:12:24,1500,28716,28714,0,2,729864,730080
2026-09-22 04:12:54,1530,29292,29278,0,14,726216,730080
2026-09-22 04:13:24,1560,29855,29848,0,7,726264,730080
2026-09-22 04:13:54,1590,30432,30431,0,1,729912,730080
2026-09-22 04:14:24,1620,31010,30994,0,16,726200,730080
2026-09-22 04:14:54,1650,31586,31576,0,10,729824,730080
2026-09-22 04:15:24,1680,32162,32158,0,4,729632,730080
2026-09-22 04:15:54,1710,32739,32720,0,19,721184,730080
2026-09-22 04:16:24,1740,33314,33302,0,12,729392,730080
2026-09-22 04:16:54,1770,33890,33882,0,8,729296,730080
2026-09-22 04:17:24,1800,34469,34466,0,3,730448,730448
2026-09-22 04:17:26,1802,34473,34473,0,0,401968,730448
