pair,variant,seconds
1,baseline,3.5579319000244141
1,candidate,3.5818209648132324
2,candidate,3.5134351253509521
2,baseline,3.5084071159362793
3,baseline,3.5258128643035889
3,candidate,3.5251801013946533
4,candidate,3.5248270034790039
4,baseline,3.5259239673614502
5,baseline,3.5557200908660889
5,candidate,3.530534029006958
6,candidate,3.5204219818115234
6,baseline,3.5102119445800781
7,baseline,3.5308258533477783
7,candidate,3.5250139236450195
8,candidate,3.5239861011505127
8,baseline,3.506601095199585
9,baseline,3.5211200714111328
9,candidate,3.5293700695037842
10,candidate,3.5147089958190918
10,baseline,3.5037360191345215
