timestamp,elapsed_secs,produced,processed,failed,queue_depth,retained_bytes,max_live_bytes
2026-09-21 02:17:08,5,96,15,0,84,441880,441880
2026-09-21 02:17:13,10,194,187,0,10,348960,441880
2026-09-21 02:17:18,15,292,203,0,93,427544,441880
2026-09-21 02:17:23,20,390,336,0,58,393720,441880
2026-09-21 02:17:28,25,488,452,0,40,372136,441880
2026-09-21 02:17:34,30,587,568,0,23,355424,441880
2026-09-21 02:17:39,36,684,584,0,105,436248,441880
2026-09-21 02:17:44,41,783,681,0,106,453512,453512
2026-09-21 02:17:49,46,881,821,0,64,398304,453512
2026-09-21 02:17:54,51,979,902,0,82,420024,453512
2026-09-21 02:17:59,56,1077,977,0,116,448384,453512
2026-09-21 02:18:04,61,1175,1161,0,16,353880,453512
2026-09-21 02:18:09,66,1273,1178,0,100,458080,458080
2026-09-21 02:18:14,71,1371,1309,0,67,425128,458080
2026-09-21 02:18:19,76,1469,1425,0,49,402528,458080
2026-09-21 02:18:24,81,1567,1467,0,112,473272,473272
2026-09-21 02:18:30,86,1665,1584,0,88,447584,473272
2026-09-21 02:18:35,92,1764,1702,0,68,427424,473272
2026-09-21 02:18:40,97,1862,1784,0,119,452504,473272
2026-09-21 02:18:45,102,1960,1881,0,86,440168,473272
2026-09-21 02:18:50,107,2058,1958,0,124,456272,473272
2026-09-21 02:18:55,112,2156,2059,0,112,458920,473272
2026-09-21 02:19:00,117,2254,2183,0,78,431024,473272
2026-09-21 02:19:05,122,2321,2246,0,80,407992,473272
2026-09-21 02:19:10,127,2321,2262,0,65,384128,473272
2026-09-21 02:19:15,132,2321,2278,0,49,368128,473272
2026-09-21 02:19:20,137,2321,2294,0,34,343912,473272
2026-09-21 02:19:25,142,2321,2309,0,18,327888,473272
2026-09-21 02:19:31,147,2321,2321,0,3,512776,512776
2026-09-21 02:19:34,151,2321,2321,0,0,505672,512776
