timestamp,elapsed_secs,produced,processed,failed,queue_depth,retained_bytes,max_live_bytes
2026-09-21 02:17:04,5,764,764,0,0,1107480,1107480
2026-09-21 02:17:09,10,1489,1489,0,0,1297552,1297552
2026-09-21 02:17:14,15,2201,2201,0,0,1348720,1348720
2026-09-21 02:17:19,20,2899,2899,0,0,1424944,1424944
2026-09-21 02:17:24,25,3618,3618,0,0,1512336,1512336
2026-09-21 02:17:29,30,4323,4323,0,0,1581936,1581936
2026-09-21 02:17:34,35,5040,5040,0,0,1580944,1581936
2026-09-21 02:17:39,40,5775,5775,0,0,1598808,1598808
2026-09-21 02:17:44,45,6505,6505,0,0,1610056,1610056
2026-09-21 02:17:49,50,7245,7245,0,0,1612520,1612520
2026-09-21 02:17:54,55,7965,7965,0,0,1608560,1612520
2026-09-21 02:17:59,60,8706,8706,0,0,1624320,1624320
2026-09-21 02:18:04,65,9431,9431,0,0,1618344,1624320
2026-09-21 02:18:09,70,10213,10213,0,0,1648048,1648048
2026-09-21 02:18:14,75,11021,11021,0,0,1696088,1696088
2026-09-21 02:18:19,80,11786,11786,0,0,1683272,1696088
2026-09-21 02:18:24,85,12523,12523,0,0,1655984,1696088
2026-09-21 02:18:29,90,13278,13278,0,0,1653056,1696088
2026-09-21 02:18:34,95,14074,14074,0,0,1691312,1696088
2026-09-21 02:18:39,100,14883,14883,0,0,1719848,1719848
2026-09-21 02:18:44,105,15667,15667,0,0,1699384,1719848
2026-09-21 02:18:49,110,16432,16432,0,0,1680616,1719848
2026-09-21 02:18:54,115,17178,17178,0,0,1673816,1719848
2026-09-21 02:18:59,120,17917,17917,0,0,1526144,1719848
