timestamp,elapsed_secs,produced,processed,failed,queue_depth,retained_bytes,max_live_bytes
2026-09-21 02:14:29,5,96,95,0,0,561528,561528
2026-09-21 02:14:34,10,190,190,0,0,511672,561528
2026-09-21 02:14:39,15,284,284,0,0,529208,561528
2026-09-21 02:14:44,20,378,378,0,0,564688,564688
2026-09-21 02:14:49,25,472,472,0,0,578376,578376
2026-09-21 02:14:54,30,566,566,0,0,592032,592032
2026-09-21 02:14:59,35,660,660,0,0,585128,592032
2026-09-21 02:15:04,40,753,753,0,0,587952,592032
2026-09-21 02:15:09,45,847,847,0,0,591648,592032
2026-09-21 02:15:14,50,940,940,0,0,588968,592032
2026-09-21 02:15:19,55,1034,1034,0,0,588560,592032
2026-09-21 02:15:24,60,1128,1128,0,0,592816,592816
2026-09-21 02:15:29,65,1221,1221,0,0,589376,592816
2026-09-21 02:15:34,70,1315,1315,0,0,592904,592904
2026-09-21 02:15:39,75,1409,1409,0,0,596600,596600
2026-09-21 02:15:44,80,1503,1503,0,0,589664,596600
2026-09-21 02:15:49,85,1596,1596,0,0,592728,596600
2026-09-21 02:15:54,90,1690,1690,0,0,594200,596600
2026-09-21 02:15:59,95,1784,1784,0,0,589712,596600
2026-09-21 02:16:04,100,1877,1877,0,0,592776,596600
2026-09-21 02:16:09,105,1971,1971,0,0,586504,596600
2026-09-21 02:16:14,110,2064,2064,0,0,590984,596600
2026-09-21 02:16:19,115,2158,2158,0,0,593408,596600
2026-09-21 02:16:24,120,2251,2251,0,0,455432,596600
