timestamp,elapsed_secs,produced,processed,failed,queue_depth,retained_bytes,max_live_bytes
2026-09-21 02:17:04,5,781,642,0,140,764664,764664
2026-09-21 02:17:09,10,1537,1423,0,115,1083136,1083136
2026-09-21 02:17:14,15,2281,2188,0,94,1138464,1138464
2026-09-21 02:17:19,20,3017,2947,0,70,1129560,1138464
2026-09-21 02:17:24,25,3770,3721,0,50,1137144,1138464
2026-09-21 02:17:29,30,4513,4490,0,23,1138248,1138464
2026-09-21 02:17:34,35,5250,5125,0,123,1080616,1138464
2026-09-21 02:17:39,40,5993,5865,0,128,1093872,1138464
2026-09-21 02:17:44,45,6744,6643,0,102,1133080,1138464
2026-09-21 02:17:49,50,7501,7424,0,78,1151512,1151512
2026-09-21 02:17:54,55,8243,8194,0,50,1144792,1151512
2026-09-21 02:17:59,60,9003,8978,0,26,1151040,1151512
2026-09-21 02:18:04,65,9743,9633,0,110,1105320,1151512
2026-09-21 02:18:09,70,10535,10395,0,141,1132808,1151512
2026-09-21 02:18:14,75,11344,11220,0,125,1185544,1185544
2026-09-21 02:18:19,80,12124,12024,0,101,1193088,1193088
2026-09-21 02:18:24,85,12874,12809,0,65,1166344,1193088
2026-09-21 02:18:29,90,13638,13588,0,50,1159240,1193088
2026-09-21 02:18:34,95,14437,14407,0,31,1184008,1193088
2026-09-21 02:18:39,100,15245,15232,0,13,1205184,1205184
2026-09-21 02:18:44,105,16038,15886,0,153,1133680,1205184
2026-09-21 02:18:49,110,16817,16689,0,129,1148152,1205184
2026-09-21 02:18:54,115,17587,17481,0,106,1173016,1205184
2026-09-21 02:18:59,120,18356,18267,0,89,1166872,1205184
2026-09-21 02:19:01,123,18483,18483,0,0,757632,1205184
