timestamp,elapsed_secs,produced,processed,failed,queue_depth,retained_bytes,max_live_bytes
2026-09-21 02:14:29,5,96,77,0,19,342552,342552
2026-09-21 02:14:34,10,191,173,0,18,419688,419688
2026-09-21 02:14:39,15,285,267,0,18,454480,454480
2026-09-21 02:14:44,20,379,363,0,16,459560,459560
2026-09-21 02:14:49,25,474,458,0,16,464048,464048
2026-09-21 02:14:54,30,568,554,0,14,464000,464048
2026-09-21 02:14:59,35,662,649,0,13,463880,464048
2026-09-21 02:15:04,40,756,744,0,12,463640,464048
2026-09-21 02:15:09,45,851,839,0,12,463592,464048
2026-09-21 02:15:14,50,945,934,0,11,495328,495328
2026-09-21 02:15:19,55,1039,1029,0,10,499480,499480
2026-09-21 02:15:24,60,1133,1124,0,9,500280,500280
2026-09-21 02:15:29,65,1227,1219,0,8,502392,502392
2026-09-21 02:15:34,70,1321,1314,0,8,501880,502392
2026-09-21 02:15:39,75,1415,1408,0,7,501040,502392
2026-09-21 02:15:44,80,1509,1503,0,6,501184,502392
2026-09-21 02:15:49,85,1603,1598,0,5,505680,505680
2026-09-21 02:15:54,90,1698,1693,0,5,505920,505920
2026-09-21 02:15:59,95,1793,1788,0,5,505752,505920
2026-09-21 02:16:04,100,1887,1884,0,3,505944,505944
2026-09-21 02:16:09,105,1982,1979,0,3,505872,505944
2026-09-21 02:16:14,110,2077,2074,0,3,505704,505944
2026-09-21 02:16:19,115,2171,2170,0,1,506016,506016
2026-09-21 02:16:24,120,2266,2247,0,19,498240,506016
2026-09-21 02:16:26,122,2274,2274,0,0,324120,506016
